label	group	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs
0.03	DA1008	0.597628	0.588793	0.606463	1.673282	1.648905	1.69839	0.891511	0.873365	0.909658	0.894523	28	29.666667	28.232004	39.972994	16959
0.03	DA1009	0.142905	0.140159	0.14565	6.997677	6.865773	7.134748	2.344763	2.327259	2.362266	2.34871	57	60.111111	57.610554	72.852849	16787
0.03	DA1009_s	0.361468	0.356514	0.366423	2.766494	2.729089	2.804938	1.252302	1.232918	1.271686	1.255305	31	31.5	31.040234	37.213644	11647
0.03	DA1026	0.256173	0.250542	0.261804	3.903617	3.819655	3.991354	1.903783	1.877327	1.930239	1.910084	72	77.625	73.315172	96.05817	12463
0.03	DA1030	0.151196	0.146453	0.155938	6.613939	6.412796	6.828107	2.629735	2.603648	2.655823	2.635441	94	100.875	95.709308	121.651911	13469
0.03	DA1033_R	0.860099	0.847871	0.872327	1.162657	1.146359	1.179424	0.386186	0.355056	0.417317	0.392914	26	26.428571	26.032985	31.568409	5585
0.03	DA1039	0.013794	0.013071	0.014518	72.492686	68.880174	76.505097	5.396206	5.373385	5.419027	5.404973	506	509.64	506.931973	520.216714	15631
0.03	DA1041	0.191451	0.186967	0.195934	5.223273	5.103753	5.348525	2.158311	2.139092	2.177531	2.161188	44	51	45.451873	77.749509	16315
0.03	DA1043	0.278968	0.275025	0.282911	3.584637	3.534678	3.636029	1.810988	1.79147	1.830505	1.814943	71	75.5	72.032478	90.613017	22734
0.03	DA1044	0.134249	0.130378	0.138121	7.448834	7.240049	7.670017	2.713821	2.689648	2.737995	2.717766	85	87.625	85.469808	99.666883	14799
0.03	DA1046	0.121431	0.118778	0.124083	8.235154	8.059106	8.419064	2.561278	2.543206	2.57935	2.563882	60	63.75	60.6386	82.020811	16950
0.03	DA1071	0.245934	0.239392	0.252477	4.066124	3.960754	4.177253	2.260046	2.234463	2.285628	2.263781	81	82.666667	81.254726	91.904971	16764
0.03	DA1088	0.93771	0.932788	0.942631	1.066428	1.060861	1.072055	0.226417	0.21023	0.242605	0.229322	43	43.375	43.027681	48.080142	17904
0.03	DA1102	0.073514	0.072092	0.074936	13.602844	13.344669	13.871207	3.087695	3.069058	3.106332	3.094251	132	141.066667	134.831403	161.033111	18979
0.03	DA1119	0.246433	0.241241	0.251625	4.057901	3.974171	4.145235	1.856208	1.831422	1.880993	1.860313	45	52	46.340979	81.540456	11033
0.03	DA1119_s	0.254236	0.249697	0.258776	3.933349	3.864351	4.004856	1.938254	1.916806	1.959702	1.941477	65	67.625	65.469808	79.666883	18830
0.03	DA1120	0.231619	0.227726	0.235513	4.317428	4.246057	4.391238	1.881495	1.863473	1.899517	1.885556	53	56.6	53.76382	69.967346	18981
0.03	DA1125	0.026249	0.02534	0.027159	38.096069	36.820576	39.463101	4.679928	4.660749	4.699108	4.682039	264	265.428571	264.193189	274.563816	23078
0.03	DA1133	0.207493	0.204411	0.210575	4.819447	4.748905	4.892116	1.860891	1.8436	1.878182	1.862789	30	30.166667	30.007732	33.592504	14365
0.03	DA1139	0.213691	0.209123	0.218258	4.679657	4.581727	4.781864	1.960508	1.938895	1.982122	1.963969	46	49	46.501496	63.946298	12850
