OTU	Size	Taxonomy	taxname	phylum
Otu00139	9590	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu00139_Prevotella	Bacteroidetes
Otu00140	5155	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu00140_Blautia	Firmicutes
Otu00141	604	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Massilia(84);	Otu00141_Massilia	Proteobacteria
Otu00142	14064	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified(100);unclassified(100);	Otu00142_Clostridiales	Firmicutes
Otu00143	4047	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Clostridium_XVIII(100);	Otu00143_Clostridium_XVIII	Firmicutes
Otu00144	1158	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Atopobium(100);	Otu00144_Atopobium	Actinobacteria
Otu00145	1875	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00145_Ruminococcaceae	Firmicutes
Otu00146	3978	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);	Otu00146_Alloprevotella	Bacteroidetes
Otu00147	10799	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);	Otu00147_Sutterella	Proteobacteria
Otu00148	2601	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00148_Ruminococcaceae	Firmicutes
Otu00149	2431	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu00149_Streptococcus	Firmicutes
Otu00150	1237	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Scardovia(100);	Otu00150_Scardovia	Actinobacteria
Otu00151	4059	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);unclassified(100);	Otu00151_Veillonellaceae	Firmicutes
Otu00152	3097	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);	Otu00152_Ruminococcus	Firmicutes
Otu00153	614	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Solirubrobacterales(100);unclassified(88);unclassified(88);	Otu00153_Solirubrobacterales	Actinobacteria
Otu00154	1950	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(56);	Otu00154_Lachnospiraceae	Firmicutes
Otu00155	1022	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(99);unclassified(99);unclassified(99);unclassified(99);	Otu00155_Gammaproteobacteria	Proteobacteria
